object,type,subject,name
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 29|at flowering,contains,at flowering,cxgn_time_ontology
Plant height in cm|at flowering,contains,at flowering,cxgn_time_ontology
Number of suckers: count|cycle 4 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 11|at flowering,contains,at flowering,cxgn_time_ontology
Plant height in cm|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 10|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 20|at flowering,contains,at flowering,cxgn_time_ontology
youngest leaf spotted|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 09|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 04|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 08|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 28|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 07|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 06|at flowering,contains,at flowering,cxgn_time_ontology
Root necrosis caused by nematodes in percent|cycle 1|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 21|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 19|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 04|at flowering,contains,at flowering,cxgn_time_ontology
Root necrosis caused by nematodes in percent|at flowering,contains,at flowering,cxgn_time_ontology
Number of dead roots: count|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 22|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 1|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 27|at flowering,contains,at flowering,cxgn_time_ontology
Number of dead roots: count|cycle 3|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 11|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 22|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 06|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 03|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 05|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 02|at flowering,contains,at flowering,cxgn_time_ontology
Number of dead roots: count|cycle 2|at flowering,contains,at flowering,cxgn_time_ontology
Root necrosis caused by nematodes in percent|cycle 2|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 23|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 04|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 26|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 01|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 03|at flowering,contains,at flowering,cxgn_time_ontology
Root necrosis caused by nematodes in percent|cycle 3|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|hand rank 01|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 01|at flowering,contains,at flowering,cxgn_time_ontology
Number of dead roots: count|cycle 1|at flowering,contains,at flowering,cxgn_time_ontology
"Number of suckers: count|cycle 3|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 24|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 25|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 02|at flowering,contains,at flowering,cxgn_time_ontology
Tallest sucker height in cm|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
"Number of suckers: count|cycle 2|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 02|at flowering,contains,at flowering,cxgn_time_ontology
